Month,Reporting org id,Reporting org name,Reporting org type,Sector,Receiver org id,Receiver org name,Humanitarian?,Strict?,Transaction type,Activity id,Net money,Total money,Notes
#date+month,#org+id,#org+name,#org+type,#sector,#org+id+receiver,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#activity+code,#value+net,#value+total,#description
2025-04,do-428,Astarta Holding,70,Consumer staples,ro-2,Unspecified (see notes),1,1,commitments,691,1015995,1015995,"UAH 30 million of assistance including 500 tons of food products, temporary shelters, and other assistance from Astarta-Kyiv, a Ukrainian agriculture and industrial company."
2025-04,do-37,Astellas Pharma Inc.,70,Health care,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,commitments,59,78308,78308,10 million yen donation to support humanitarian relief.
2025-04,do-38,AstraZeneca,70,Health care,ro-29,Direct Relief [NGO],1,1,commitments,60,3000000,3000000,"Twenty-four pallets of medicines, worth $3 million, to our humanitarian relief partner Direct Relief, which is working directly with the Ukrainian Ministry of Health. Part of a $7 million commitment. "
2025-04,do-38,AstraZeneca,70,Health care,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),1,1,spending,61,9343,9343,"CHF 8,867"
2025-04,do-38,AstraZeneca,70,Health care,ro-1,Multiple (see notes),1,1,commitments,62,2000000,2000000,$2 million to Project HOPE and IMC. 
2025-04,do-429,ATB Corporation,70,Consumer staples,ro-2,Unspecified (see notes),1,1,commitments,692,6778638,6778638,"UAH 200 million dedicated to the implementation of humanitarian projects by the largest retailer, taxpayer, and one of the largest employers in Ukraine."
2025-04,do-39,Atlas Copco Group,70,Industrials,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,commitments,63,105807,105807,Donation of 1m SEK. 
2025-04,do-40,ATN Corp.,70,Consumer discretionary,ro-108,The Gorta Group [NGO],1,1,commitments,64,300000,300000,Donation from manufacturer of night vision and thermal vision products. 
2025-04,do-41,Audi AG,70,Consumer discretionary,ro-132,UNO-Flüchtlingshilfe (Germany for UNHCR),1,1,commitments,65,805774,805774,€750k to UNO-Flüchtlingshilfe plus €250k for regional projects at the Audi site in Hungary.
2025-04,do-41,Audi AG,70,Consumer discretionary,ro-132,UNO-Flüchtlingshilfe (Germany for UNHCR),1,1,commitments,66,268591,268591,€750k to UNO-Flüchtlingshilfe plus €250k for regional projects at the Audi site in Hungary.
2025-04,do-42,"Aurora World, Inc.",70,Consumer discretionary,ro-109,The Toy Foundation [NGO],1,1,commitments,67,250000,250000,"Donation from manufacturer of plush toys of $250,000 worth of toys for children affected by the Ukraine crisis. "
2025-04,do-43,aviado GmbH,70,Industrials,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,68,16667,16667,Donation from specialist aviation and rail consultancy. 
2025-04,do-480,AVIV Group GmbH,70,Real Estate,ro-1,Multiple (see notes),1,1,commitments,726,36527,36527,"€35,0000 donation to Ein Herz für Kinder [NGO] and I Loge You [NGO]."
2025-04,do-44,Axa,70,Financials,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,spending,714,1630435,1630435,Cash donation to UNICEF National Committee France
2025-04,do-44,AXA,70,Financials,ro-2,Unspecified (see notes),1,1,commitments,69,6405720,6405720,€6 million for NGOs working in Ukraine and neighboring countries.
2025-04,do-506,B. Metzler seel. Sohn & Co. Aktiengesellschaft,70,Financials,ro-190,Rotary Club Bad Homburg Kurpark [NGO],1,1,commitments,823,50292,50292,"€ 50,000 donation as part of the aid campaign by the Rotary Club Bad Homburg Kurpark for medical support. "
2025-04,do-45,Backcountry,70,Consumer discretionary,GB-CHC-292506,CARE International [NGO],1,1,commitments,70,10000,10000,To help with refugee assistance.
2025-04,do-46,Bain & Company,70,Financials,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,commitments,71,1000000,1000000,Donation announced by Worldwide Managing Partner of global consultancy.
2025-04,do-47,Baker Creek Heirloom Seed Company,70,Consumer discretionary,ro-158,World Help [NGO],1,1,commitments,72,1600000,1600000,Donation from seed sales from February 25 through 27.
2025-04,do-48,Balenciaga SAS,70,Consumer discretionary,XM-DAC-41140,World Food Programme (WFP),1,1,spending,73,337079,337079,Donation from Spanish (now French) luxury brand. 
2025-04,do-49,Banco Santander S.A.,70,Financials,ro-1,Multiple (see notes),1,1,commitments,74,1087495,1087495,€1 million initial donation to the Red Cross and UNHCR. 
2025-04,do-50,Bandai Namco,70,Consumer discretionary,GB-COH-213890,Save the Children [NGO],1,1,commitments,75,817420,817420,100 million yen donation in support of Ukraine.
2025-04,do-51,Bank of America,70,Financials,ro-1,Multiple (see notes),1,1,commitments,76,1000000,1000000,"To the Red Cross and Red Crescent network in Ukraine and the region, World Central Kitchen, Cooperative for Assistance and Relief Everywhere, International Medical Corps and Project Hope."
2025-04,do-52,Bank of Ireland,70,Financials,ro-58,Irish Red Cross Society,1,1,commitments,77,109000,109000,"€100,000 to help people fleeing the Ukraine conflict."
