Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID
EQ-2023-000015-TUR-0037,Flexport Inc.,Industrials,United States of America,Unspecified (see notes),cash,pledged,250000,Initial commitment from the Flexport.org Fund to ship aid via nonprofit and humanitarian partners responding to the earthquakes.,Public reporting: https://www.flexport.com/blog/supply-chain-snapshots-news-of-the-week-feb-17-2023/,do-612,ro-2
EQ-2023-000015-TUR-0038,FUJIFILM Holdings Corporation,Industrials,Japan,Japan Platform [NGO],cash,pledged,74233,JPY 10 million donation.,Public reporting: https://www.fujifilmgraphicsystems.co.za/blog/fujifilm-holdings-to-donate-50-million-yen,do-613,ro-60
EQ-2023-000015-TUR-0039,FUJIFILM Holdings Corporation,Industrials,Japan,Unspecified (see notes),in-kind,pledged,296934,"Donation of medical equipment worth JPY 40 million, including Fujifilm’s portable X-ray systems and ultrasound devices for medical care.",Public reporting: https://www.fujifilmgraphicsystems.co.za/blog/fujifilm-holdings-to-donate-50-million-yen,do-613,ro-2
EQ-2023-000015-TUR-0040,GE HealthCare,Industrials,United States of America,Unspecified (see notes),in-kind,pledged,1000000,"Donation of Vscan handheld ultrasounds and mobile X-ray systems. In addition, GE is donation food and essential items directly to areas of greatest need. ",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/ge-healthcare-earthquakes-t-rkiye-and-syria,do-172,ro-2
EQ-2023-000015-TUR-0041,Hana Financial Group Inc.,Financials,South Korea,Unspecified (see notes),cash,pledged,300000,"Pledge of cash support to the Community Chest of Korea, International Rescue Committee, and other relief organizations to support humanitarian work in Turkey and Syria.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/hana-financial-group-earthquakes-t-rkiye-and-syria,do-615,ro-2
EQ-2023-000015-TUR-0042,Henkel AG & Co. KGaA,Consumer Staples,Germany,Unspecified (see notes),cash,pledged,1067465,€1 million donated to internationally active aid organizations in support of earthquake response.,Public reporting: https://www.henkel.com/press-and-media/press-releases-and-kits/2023-02-10-henkel-donates-1-million-euros-for-earthquake-relief-in-tuerkiye-and-syria-1802172,do-486,ro-2
EQ-2023-000015-TUR-0043,"Hitachi, Ltd.",Consumer discretionary,Japan,Japanese Red Cross Society,cash,pledged,300000,"JPY 20 million to support relief efforts for people affected by the earthquake.
",Public reporting: https://www.hitachi.eu/en/press/hitachi-donate-support-earthquake-relief-efforts-turkiye-and-syria,do-196,ro-61
EQ-2023-000015-TUR-0044,"Hitachi, Ltd.",Consumer discretionary,Japan,United Nations Children's Fund (UNICEF),cash,pledged,300000,"JPY 20 million to support relief efforts for people affected by the earthquake.
",Public reporting: https://www.hitachi.eu/en/press/hitachi-donate-support-earthquake-relief-efforts-turkiye-and-syria,do-196,XM-DAC-41122
EQ-2023-000015-TUR-0045,"Honda Motor Co., Ltd.",Industrials,Japan,Japanese Red Cross Society,cash,pledged,74568,JPY 10 million to support the humanitarian relief and recovery effort in the affected areas.,Public reporting: https://global.honda/newsroom/news/2023/c230215eng.html?from=RSS&from=top_newsroom_area,do-616,ro-61
EQ-2023-000015-TUR-0046,"Hyundai Marine & Fire Insurance Co., Ltd.",Financials,Republic of Korea,United Nations High Commissioner for Refugees (UNHCR),cash,paid,100000,"$100,000 donation for disaster relief aid to Turkey.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/hyundai-marine-fire-insurance-co-earthquakes-t-rkiye,do-618,XM-DAC-41121
