Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID,
50,Ares Management Corporation,Financials,United States of America,CARE International [NGO],cash,pledged,100000,To provide water and hygiene kits for Ukraine. ,"Public reporting
[https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ares-management-corporation-humanitarian-crisis-ukraine]",cd-31,GB-CHC-292506,
51,Ares Management Corporation,Financials,United States of America,Voices of Children Foundation [NGO],cash,pledged,100000,For psychological and evacuation support for children of Ukraine.  ,"Public reporting
[https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ares-management-corporation-humanitarian-crisis-ukraine]",cd-31,ro-152,
52,Ares Management Corporation,Financials,United States of America,World Central Kitchen [NGO],cash,pledged,100000,For meals for those who emigrate to neighboring countries and those who remain in Ukraine. ,"Public reporting
[https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ares-management-corporation-humanitarian-crisis-ukraine]",cd-31,ro-154,
53,Argyle Systems Inc ,Industrials,United States of America,GoFundMe.org Ukraine Humanitarian Fund,cash,paid,50000,Donation to GoFundMe campaign. ,"Public reporting
[https://www.gofundme.com/f/ukraine-humanitarian-fund/topdonations]",cd-32,ro-44,
54,Arista,Information technology,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,20000,Donation via the Silicon Valley Community Foundation.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-33,ro-113,
55,Armani Group ,Consumer discretionary,Italy,United Nations High Commissioner for Refugees (UNHCR),cash,paid,561798,"€500,000 donation for the assistance and protection of those who have been forced to flee the war in Ukraine. ","Public reporting
[https://people.com/style/how-fashion-and-beauty-brands-are-helping-ukraine]",cd-34,XM-DAC-41121,
56,Asda Stores Ltd,Consumer discretionary,United Kingdom,United Nations Children's Fund (UNICEF),cash,pledged,330000,"£250k corporate donation to support the setup of a Blue Dot centre which will provide a safe space for up to 5,000 children and families and give them access to things like emergency water and hygiene kits on the ground.","Public reporting
[https://corporate.asda.com/newsroom/2022/03/04/asda-and-the-asda-foundation-to-provide-1m-support-package-for-ukrainian-families-and-remove-russian-products-from-sale]",cd-35,XM-DAC-41122,
57,Asda Stores Ltd,Consumer discretionary,United Kingdom,unspecified or multiple recipients,cash,pledged,980712,£1m corporate commitment (manually reduced by £250k corporate donation to UNICEF),"Public reporting
[https://corporate.asda.com/newsroom/2022/03/04/asda-and-the-asda-foundation-to-provide-1m-support-package-for-ukrainian-families-and-remove-russian-products-from-sale]",cd-35,ro-149,
58,ASIS International,Industrials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,10000,Donation from organization representing security professionals.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-36,ro-113,
59,Astellas Pharma Inc.,Health care,Japan,United Nations Children's Fund (UNICEF),cash,pledged,78308,10 million yen donation to support humanitarian relief.,"Public reporting
[https://www.astellas.com/en/news/25326]",cd-37,XM-DAC-41122,
60,AstraZeneca,Health care,United Kingdom,Direct Relief [NGO],in-kind,pledged,3000000,"Twenty-four pallets of medicines, worth $3 million, to our humanitarian relief partner Direct Relief, which is working directly with the Ukrainian Ministry of Health. Part of a $7 million commitment. ","Public reporting
[https://www.astrazeneca.com/media-centre/statements/2022/our-response-to-the-russia-ukraine-war.html]",cd-38,ro-29,
61,AstraZeneca,Health care,United Kingdom,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,9343,"CHF 8,867","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-38,XM-DAC-21018,
62,AstraZeneca,Health care,United Kingdom,unspecified or multiple recipients,cash,pledged,2000000,$2 million to Project HOPE and IMC. ,"Public reporting
[https://www.astrazeneca.com/media-centre/statements/2022/our-response-to-the-russia-ukraine-war.html]",cd-38,ro-149,
63,Atlas Copco Group,Industrials,Sweden,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,105807,Donation of 1m SEK. ,"Public reporting
[https://www.facebook.com/atlascopco/photos/a.10150146064285703/10158399472190703/]",cd-39,XM-DAC-41121,
64,ATN Corp.,Consumer discretionary,United States of America,The Gorta Group [NGO],cash,pledged,300000,Donation from manufacturer of night vision and thermal vision products. ,"Public reporting
[https://www.primepublishers.com/atn-corp-donates-300k-to-support-the-gorta-groups-ukraine-relief-efforts/article_dcd3e2f2-8d48-5fa8-8178-61115e906404.html]",cd-40,ro-108,
